FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
NH,0.6470588235,1.352941176,W,D,L,L,W,W,-0.9411764706,-0.05882352941,-0.2941176471,7
NH,1.235294118,2.294117647,L,L,W,W,W,W,-0.1764705882,1.823529412,-0.5294117647,17
H,1.176470588,0.7647058824,W,L,L,W,L,W,0.2941176471,-0.7058823529,-0.2352941176,-11
H,0.8235294118,1.235294118,L,L,L,L,W,W,-0.7058823529,-0.2352941176,-0.5294117647,5
H,1,1.294117647,L,L,W,L,L,W,-0.4117647059,-0.05882352941,0.1764705882,12
H,1.529411765,0.6470588235,W,W,W,L,D,L,0.05882352941,-0.4705882353,0.5294117647,-5
NH,1.411764706,1.470588235,W,W,W,D,D,D,0.2941176471,0.2941176471,0.4117647059,3
H,0.7058823529,1.705882353,L,D,L,W,L,W,-1,0.2941176471,-0.5294117647,6
NH,1.588235294,1.588235294,W,L,L,L,W,W,0.5294117647,0.3529411765,-0.1764705882,-14
NH,1.470588235,0.8235294118,D,D,D,L,L,L,0.2941176471,-0.7058823529,0.3529411765,-12
H,0.7222222222,0.8333333333,L,W,L,W,L,D,-0.8333333333,-0.8888888889,0.1666666667,2
NH,1.166666667,1.388888889,L,L,W,D,W,W,-0.5,0.2777777778,-0.2222222222,4
H,1.666666667,1.111111111,W,L,W,W,L,L,0.3888888889,-0.3333333333,0.2777777778,3
H,1.388888889,1.611111111,W,L,L,W,W,W,0.05555555556,0.1111111111,-0.3888888889,-4
H,1.611111111,1.222222222,L,W,L,D,L,L,0.2222222222,-0.1666666667,0.1666666667,-10
H,0.6111111111,1.277777778,L,L,D,W,W,L,-0.5,0.4444444444,-0.3333333333,7
H,1.333333333,0.6666666667,L,D,W,D,W,D,-0.1666666667,-0.8888888889,0,-6
NH,2.222222222,1.5,D,W,W,L,W,L,1.722222222,0.4444444444,0.3888888889,-3
NH,1.333333333,1.888888889,D,L,W,W,W,L,-0.05555555556,0.8888888889,0,8
NH,0.8333333333,1.111111111,W,L,D,W,L,L,-0.8888888889,-0.3333333333,-0.1666666667,-1
H,1.157894737,1.157894737,L,D,L,D,L,L,-0.2631578947,-0.4736842105,-0.1578947368,5
H,1.210526316,0.6315789474,L,W,W,L,D,W,0.3684210526,-0.8947368421,0.05263157895,-12
